story_id	title	name	changed_pixels	changed_percent	report_dir
design-system-atoms-contextkindswatch--all-kinds	Design System/Atoms/ContextKindSwatch	All Kinds	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-CONTEXT-WINDOWS-DESIGN--transcript-context-window-annotation-and-course-page-design-integration/sources/visual-parity/context-story-sweep/reports/design-system-atoms-contextkindswatch--all-kinds
design-system-atoms-contextkindswatch--sizes-and-selection	Design System/Atoms/ContextKindSwatch	Sizes And Selection	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-CONTEXT-WINDOWS-DESIGN--transcript-context-window-annotation-and-course-page-design-integration/sources/visual-parity/context-story-sweep/reports/design-system-atoms-contextkindswatch--sizes-and-selection
component-library-molecules-contextbudgetbar--budget-states	Component Library/Molecules/ContextBudgetBar	Budget States	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-CONTEXT-WINDOWS-DESIGN--transcript-context-window-annotation-and-course-page-design-integration/sources/visual-parity/context-story-sweep/reports/component-library-molecules-contextbudgetbar--budget-states
component-library-molecules-contextbudgetbar--selected-segment	Component Library/Molecules/ContextBudgetBar	Selected Segment	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-CONTEXT-WINDOWS-DESIGN--transcript-context-window-annotation-and-course-page-design-integration/sources/visual-parity/context-story-sweep/reports/component-library-molecules-contextbudgetbar--selected-segment
component-library-molecules-contextlegend--modes	Component Library/Molecules/ContextLegend	Modes	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-CONTEXT-WINDOWS-DESIGN--transcript-context-window-annotation-and-course-page-design-integration/sources/visual-parity/context-story-sweep/reports/component-library-molecules-contextlegend--modes
component-library-molecules-contextlegend--compact-core-kinds	Component Library/Molecules/ContextLegend	Compact Core Kinds	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-CONTEXT-WINDOWS-DESIGN--transcript-context-window-annotation-and-course-page-design-integration/sources/visual-parity/context-story-sweep/reports/component-library-molecules-contextlegend--compact-core-kinds
component-library-molecules-contextlegend--annotation-and-course-kinds	Component Library/Molecules/ContextLegend	Annotation And Course Kinds	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-CONTEXT-WINDOWS-DESIGN--transcript-context-window-annotation-and-course-page-design-integration/sources/visual-parity/context-story-sweep/reports/component-library-molecules-contextlegend--annotation-and-course-kinds
component-library-molecules-contextstackdiagram--grouped-context-window	Component Library/Molecules/ContextStackDiagram	Grouped Context Window	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-CONTEXT-WINDOWS-DESIGN--transcript-context-window-annotation-and-course-page-design-integration/sources/visual-parity/context-story-sweep/reports/component-library-molecules-contextstackdiagram--grouped-context-window
component-library-molecules-contextstackdiagram--selected-layer	Component Library/Molecules/ContextStackDiagram	Selected Layer	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-CONTEXT-WINDOWS-DESIGN--transcript-context-window-annotation-and-course-page-design-integration/sources/visual-parity/context-story-sweep/reports/component-library-molecules-contextstackdiagram--selected-layer
component-library-molecules-contextstackdiagram--comparison	Component Library/Molecules/ContextStackDiagram	Comparison	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-CONTEXT-WINDOWS-DESIGN--transcript-context-window-annotation-and-course-page-design-integration/sources/visual-parity/context-story-sweep/reports/component-library-molecules-contextstackdiagram--comparison
component-library-molecules-contextstripdiagram--dense-segments	Component Library/Molecules/ContextStripDiagram	Dense Segments	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-CONTEXT-WINDOWS-DESIGN--transcript-context-window-annotation-and-course-page-design-integration/sources/visual-parity/context-story-sweep/reports/component-library-molecules-contextstripdiagram--dense-segments
component-library-molecules-contextstripdiagram--selected-segment	Component Library/Molecules/ContextStripDiagram	Selected Segment	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-CONTEXT-WINDOWS-DESIGN--transcript-context-window-annotation-and-course-page-design-integration/sources/visual-parity/context-story-sweep/reports/component-library-molecules-contextstripdiagram--selected-segment
component-library-molecules-contextstripdiagram--limit-comparison	Component Library/Molecules/ContextStripDiagram	Limit Comparison	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-CONTEXT-WINDOWS-DESIGN--transcript-context-window-annotation-and-course-page-design-integration/sources/visual-parity/context-story-sweep/reports/component-library-molecules-contextstripdiagram--limit-comparison
component-library-molecules-contexttreemap--proportional-tokens	Component Library/Molecules/ContextTreemap	Proportional Tokens	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-CONTEXT-WINDOWS-DESIGN--transcript-context-window-annotation-and-course-page-design-integration/sources/visual-parity/context-story-sweep/reports/component-library-molecules-contexttreemap--proportional-tokens
component-library-molecules-contexttreemap--selected-tile	Component Library/Molecules/ContextTreemap	Selected Tile	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-CONTEXT-WINDOWS-DESIGN--transcript-context-window-annotation-and-course-page-design-integration/sources/visual-parity/context-story-sweep/reports/component-library-molecules-contexttreemap--selected-tile
component-library-molecules-contexttreemap--comparison	Component Library/Molecules/ContextTreemap	Comparison	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-CONTEXT-WINDOWS-DESIGN--transcript-context-window-annotation-and-course-page-design-integration/sources/visual-parity/context-story-sweep/reports/component-library-molecules-contexttreemap--comparison
component-library-organisms-contextdiagrampanel--interactive-views	Component Library/Organisms/ContextDiagramPanel	Interactive Views	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-CONTEXT-WINDOWS-DESIGN--transcript-context-window-annotation-and-course-page-design-integration/sources/visual-parity/context-story-sweep/reports/component-library-organisms-contextdiagrampanel--interactive-views
component-library-organisms-contextdiagrampanel--starting-views	Component Library/Organisms/ContextDiagramPanel	Starting Views	0	0	/home/manuel/workspaces/2026-05-27/rag-evaluation-system/2026-05-27--rag-evaluation-system/ttmp/2026/06/07/RAGEVAL-CONTEXT-WINDOWS-DESIGN--transcript-context-window-annotation-and-course-page-design-integration/sources/visual-parity/context-story-sweep/reports/component-library-organisms-contextdiagrampanel--starting-views
